page,image_index_on_page,filename,caption,category_subfolder,output_path,image_hash,image_size_bytes,has_hood
15,1,M205741613_SDEVSC_Evocation_DTF_Navy_Shorts.png,M205741613 SDEVSC Evocation DTF Navy Shorts,shorts,shorts\M205741613_SDEVSC_Evocation_DTF_Navy_Shorts.png,b5c211f3ac2212257a9f5728667e7b6d,24578,False
15,2,M205437736_SDSBPC_Custom_Big_DTF_Navy_Shorts.png,M205437736 SDSBPC Custom Big DTF Navy Shorts,shorts,shorts\M205437736_SDSBPC_Custom_Big_DTF_Navy_Shorts.png,f845ac5077635bd8ca030aa4984939c2,25075,False
15,3,M206069360_SHSHDC_Custom_DTF_Navy_Shorts.png,M206069360 SHSHDC Custom DTF Navy Shorts,shorts,shorts\M206069360_SHSHDC_Custom_DTF_Navy_Shorts.png,c3f09d98435257e1255a6313b7ee84ec,18995,False
15,4,M205742278_SDSCSS_Score_DTF_Gray_Shorts.png,M205742278 SDSCSS Score DTF Gray Shorts,shorts,shorts\M205742278_SDSCSS_Score_DTF_Gray_Shorts.png,01c954929976fea05ee2f9dd8b678d78,31933,False
16,1,M205741872_SDEVSS_Evocation_DTF_Gray_Shorts.png,M205741872 SDEVSS Evocation DTF Gray Shorts,shorts,shorts\M205741872_SDEVSS_Evocation_DTF_Gray_Shorts.png,36d8fb66a4b83e77b8b2cbcfeebb3e50,31087,False
16,2,M205438087_SDSBPS_Custom_Big_DTF_Gray_Shorts.png,M205438087 SDSBPS Custom Big DTF Gray Shorts,shorts,shorts\M205438087_SDSBPS_Custom_Big_DTF_Gray_Shorts.png,09bed3e146efb166fa5673249ea3c7ef,31139,False
16,3,M100729649_SHSHDS_Custom_WVU_DTF_Gray_Shorts.png,M100729649 SHSHDS Custom WVU DTF Gray Shorts,shorts,shorts\M100729649_SHSHDS_Custom_WVU_DTF_Gray_Shorts.png,61d46d6d2cdacda6926ade74eaae26a2,28406,False
16,4,M100729952_SHSHDS_Custom_Logo_DTF_Gray_Shorts.png,M100729952 SHSHDS Custom Logo DTF Gray Shorts,shorts,shorts\M100729952_SHSHDS_Custom_Logo_DTF_Gray_Shorts.png,8762f782e6099528c0969a800ee1ebb8,26684,False
17,1,M100730047_SHSHDS_Jr_Custom_DTF_Shorts.png,M100730047 SHSHDS Jr Custom DTF Shorts,shorts,shorts\M100730047_SHSHDS_Jr_Custom_DTF_Shorts.png,8a055e7369ffe8f00d3ca494152a70b1,18078,False
17,2,M103097917_SDSHES_Jr_Sheared_DTF_Shorts.png,M103097917 SDSHES Jr Sheared DTF Shorts,shorts,shorts\M103097917_SDSHES_Jr_Sheared_DTF_Shorts.png,5b6279f544d2a227555ee6d4bed0abf8,22577,False
17,3,M89676992_SHE1CH_Custom_WV_Logo_Navy_Hat.png,M89676992 SHE1CH Custom WV Logo Navy Hat,hat,hat\M89676992_SHE1CH_Custom_WV_Logo_Navy_Hat.png,dbc7d284a245c2458d2dbf555e3fa67c,12484,False
17,4,M103282092_CM6982_Custom_WVU_Navy_Hat.png,M103282092 CM6982 Custom WVU Navy Hat,hat,hat\M103282092_CM6982_Custom_WVU_Navy_Hat.png,ed92da884463037191246147dbae7d80,12645,False
18,1,M103327838_CM7069_Custom_WV_Logo_Navy_Hat.png,M103327838 CM7069 Custom WV Logo Navy Hat,hat,hat\M103327838_CM7069_Custom_WV_Logo_Navy_Hat.png,9e809b3df6943be201ad435c43e0842f,12654,False
18,2,M103282163_CM6983_Custom_WV_Logo_Navy_Hat.png,M103282163 CM6983 Custom WV Logo Navy Hat,hat,hat\M103282163_CM6983_Custom_WV_Logo_Navy_Hat.png,d434983544057015659adf6c5950c7b0,13349,False
18,3,M89677078_SHE1CH_Custom_WV_Logo_Gold_Hat.png,M89677078 SHE1CH Custom WV Logo Gold Hat,hat,hat\M89677078_SHE1CH_Custom_WV_Logo_Gold_Hat.png,0f1c6d8fa5e5c507eff997a489e90dae,13656,False
18,4,M103964634_SHE1CH_Custom_WV_Gray_Hat.png,M103964634 SHE1CH Custom WV Gray Hat,hat,hat\M103964634_SHE1CH_Custom_WV_Gray_Hat.png,380593941a69260cecdbffd3a8b03e9a,9257,False
19,1,M102610896_SHE1CH_Custom_WV_White_Hat.png,M102610896 SHE1CH Custom WV White Hat,hat,hat\M102610896_SHE1CH_Custom_WV_White_Hat.png,a5c0521df7df08c859cf5c382898d890,9020,False
19,2,M102610969_SESCRH_Scrap_WhiteGrayor_Navy_Hat.png,"M102610969 SESCRH Scrap White,Gray,or Navy Hat",hat,hat\M102610969_SESCRH_Scrap_WhiteGrayor_Navy_Hat.png,316e68cfa297e2f9f5e9eead78173d66,11372,False
19,3,M89686154_SHE1CB_Custom_WV_Navy_Beanie.png,M89686154 SHE1CB Custom WV Navy Beanie,beanie,beanie\M89686154_SHE1CB_Custom_WV_Navy_Beanie.png,3e85967893a37a0714a42c371df89560,12908,False
19,4,M89676826_SS8052_Custom_Logo_Socks.png,M89676826 SS8052 Custom Logo Socks,socks,socks\M89676826_SS8052_Custom_Logo_Socks.png,1eae9e3bf791d8379684183bb5278a16,17467,False
20,1,M89676743_SHWBOT_Custom_Logo_Water_Bottle.png,M89676743 SHWBOT Custom Logo Water Bottle,bottle,bottle\M89676743_SHWBOT_Custom_Logo_Water_Bottle.png,5cd1e7f1d4f82a20dc523b17947b3bf5,20208,False
20,2,M102068212_SHWBOT_Custom_Logo_Water_Bottle.png,M102068212 SHWBOT Custom Logo Water Bottle,bottle,bottle\M102068212_SHWBOT_Custom_Logo_Water_Bottle.png,b1007319bc32409e1f94955a35fba9ae,19287,False
20,3,M101866926_SHSSUV_Custom_Logo_Steel_Bottle.png,M101866926 SHSSUV Custom Logo Steel Bottle,bottle,bottle\M101866926_SHSSUV_Custom_Logo_Steel_Bottle.png,b55aa8f8a3468f1b335c1a5e7e4d45f4,42298,False
